index,first_name,last_name,agency,weekly_hours_worked,hourly_wage,allocated_wage,pharmacy,dental,vision,unspecified,weekly_spending,weeks_in_program
3212,Jane,Scheuer,OneStop,24,1,23.04,68.07,487.68,60.43,648.19,105.36,12
3213,Shannon,Ruggles,Elim,21,4,80.64,137.2,83.68,150.02,478.33,16.33,52
3214,Edith,Dossantos,OneStop,11,1,10.56,177.21,123.94,116.78,789.44,37.73,32
3215,Thomas,Walker,K,14,4,53.76,86.41,267.84,167.02,892.06,108.72,13
3216,Claire,Benjamin,K,29,1,27.84,75.0,215.22,60.74,694.91,24.9,42
3217,Robert,Dobson,K,29,3,83.52,11.05,82.5,128.35,396.49,21.32,29
3218,Michelle,Patterson,K,34,2,65.28,20.92,293.94,85.83,668.99,26.09,41
3219,Luke,Calhoun,Elim,20,2,38.4,181.2,57.78,54.08,141.63,24.15,18
3220,Doris,Sewell,HomeAssist,13,3,37.44,122.92,115.32,158.2,687.6,23.06,47
3221,Rachel,Hamilton,HomeAssist,15,1,14.4,67.2,84.42,102.86,899.72,96.18,12
3222,Bryan,Parrish,EverGreen,10,4,38.4,157.58,58.73,76.46,866.97,33.14,35
3223,Elizabeth,Zimmerman,OneStop,40,2,76.8,24.35,322.04,152.66,995.21,83.01,18
3224,Walter,Rivera,NU,15,3,43.2,108.36,354.62,197.1,681.67,29.17,46
3225,Robert,Cook,K,17,4,65.28,43.8,390.42,93.59,266.27,41.79,19
3226,Marcy,Cahill,K,22,4,84.48,117.5,416.69,57.42,894.58,92.89,16
3227,Ann,Martin,Elim,39,4,149.76,121.37,283.78,300.55,756.8,97.5,15
3228,Geraldine,Velasquez,Elim,31,1,29.76,128.83,151.86,91.05,454.94,51.67,16
3229,Iris,Ballard,EverGreen,38,1,36.48,91.05,483.48,187.66,423.46,26.35,45
3230,Anthony,Antoine,NU,14,3,40.32,12.19,141.64,68.62,610.37,30.85,27
3231,Gregory,Pierce,HomeAssist,15,1,14.4,106.07,346.57,144.58,793.78,34.77,40
3232,Richard,May,OneStop,16,4,61.44,181.55,257.16,73.64,669.13,62.18,19
3233,Linda,Negron,OneStop,36,2,69.12,33.08,290.57,130.16,780.99,25.2,49
3234,Lisa,Drake,OneStop,37,1,35.52,191.42,417.0,90.36,824.53,49.14,31
3235,James,Soto,NU,24,4,92.16,199.5,85.59,185.82,105.54,19.21,30
3236,Donna,Vice,Elim,21,1,20.16,135.88,276.6,102.27,441.95,21.26,45
3237,Gerald,Burt,NU,10,1,9.6,17.33,235.27,109.04,824.0,37.05,32
3238,Ralph,Cunningham,Elim,15,3,43.2,32.49,282.22,102.74,869.87,25.24,51
3239,Linda,Ortiz,HomeAssist,23,4,88.32,26.98,74.28,111.86,346.69,14.35,39
3240,Dong,Fisher,K,32,3,92.16,178.84,307.38,56.98,854.11,55.89,25
3241,David,Conway,NU,27,1,25.92,198.5,240.55,52.77,361.73,71.13,12
3242,Doris,Hernandez,OneStop,38,2,72.96,173.74,469.5,57.68,254.97,38.24,25
3243,Deloris,Pacheco,Elim,20,2,38.4,178.53,114.87,71.71,356.27,28.86,25
3244,Edna,Smith,K,16,4,61.44,36.4,190.67,123.49,355.46,27.15,26
3245,James,Tsai,EverGreen,15,1,14.4,116.25,142.73,94.75,827.68,26.85,44
3246,William,Hollis,K,12,1,11.52,77.57,211.89,171.95,780.18,47.75,26
3247,Stephen,Sommers,NU,28,4,107.52,30.24,399.88,200.23,571.47,92.45,13
3248,Joan,Apilado,OneStop,21,4,80.64,16.84,262.23,64.18,129.23,14.32,33
3249,Allen,Roth,NU,22,1,21.12,38.97,124.91,190.95,314.02,19.11,35
3250,Cheryl,Roach,NU,25,3,72.0,60.36,266.23,110.08,414.23,31.51,27
3251,Michael,Ellison,Elim,23,2,44.16,162.94,451.06,155.92,420.18,30.52,39
3252,Debra,Delp,OneStop,26,1,24.96,173.54,469.48,110.2,932.03,99.13,17
3253,Hilda,Moore,K,19,2,36.48,61.8,329.33,122.63,719.51,61.66,20
3254,Kathryne,Fletcher,Elim,25,1,24.0,78.68,156.57,176.61,767.41,49.14,24
3255,Robert,Booth,EverGreen,13,1,12.48,91.14,274.7,99.66,421.21,32.84,27
3256,Harold,Breaux,Elim,19,2,36.48,182.96,255.16,164.47,867.81,39.74,37
3257,Elise,Mcnew,NU,11,4,42.24,90.39,117.28,192.6,861.34,66.4,19
3258,Michelle,Dailey,K,26,3,74.88,139.52,91.58,114.17,724.67,62.94,17
3259,Danial,Johnson,Elim,13,2,24.96,95.22,104.71,88.48,855.96,47.68,24
3260,Glen,Johnson,OneStop,31,1,29.76,142.3,261.33,171.21,790.05,35.92,38
3261,Michael,Redway,HomeAssist,26,1,24.96,143.06,482.92,50.68,692.18,114.07,12
3262,James,Lopez,NU,31,4,119.04,17.0,622.0,472.32,278.05,53.44,26
3263,Claudette,Jackson,HomeAssist,33,4,126.72,28.47,284.6,244.85,660.14,24.86,49
3264,Stephanie,Schweinfurth,EverGreen,29,2,55.68,190.14,356.73,110.4,149.75,26.03,31
3265,Robert,Mcgrath,NU,22,4,84.48,77.96,428.21,87.48,118.75,15.16,47
3266,David,Felton,HomeAssist,17,2,32.64,14.43,361.09,107.59,971.7,30.31,48
3267,Dianne,Johnson,Elim,22,4,84.48,57.07,77.53,50.38,221.39,9.03,45
3268,Star,Rounds,HomeAssist,10,3,28.8,23.38,305.32,66.3,148.81,13.6,40
3269,Barbara,Walker,OneStop,18,1,17.28,82.76,148.82,156.06,118.43,38.93,13
3270,Jerome,Hensley,Elim,24,2,46.08,180.71,254.52,88.03,344.39,17.35,50
3271,Kellie,Namisnak,NU,17,1,16.32,116.19,472.5,134.07,981.17,37.87,45
3272,Karen,Shepard,EverGreen,32,1,30.72,20.29,73.98,74.9,674.91,23.45,36
3273,Shawn,Bellas,EverGreen,38,2,72.96,38.75,484.11,90.3,870.0,39.03,38
3274,Clara,Wylam,EverGreen,20,3,57.6,151.13,122.33,64.02,855.31,30.58,39
3275,Cecilia,Guillory,OneStop,29,1,27.84,35.36,191.82,89.28,814.06,70.66,16
3276,Juan,Quillen,EverGreen,33,4,126.72,124.07,573.0,324.55,291.19,43.76,30
3277,Anthony,Nichols,K,12,2,23.04,25.12,267.41,192.91,926.49,54.3,26
3278,Ella,Mchale,EverGreen,23,3,66.24,144.68,239.15,118.02,450.95,36.65,26
3279,Maryanne,King,OneStop,22,4,84.48,135.08,114.74,120.02,805.41,27.33,43
3280,Bruce,Childress,Elim,33,1,31.68,27.66,417.41,122.87,662.73,33.26,37
3281,Gerald,Williams,NU,25,2,48.0,195.74,222.85,194.36,317.92,40.47,23
3282,Jenny,Dorsey,K,23,2,44.16,181.23,272.84,85.34,510.67,23.34,45
3283,Betty,Ferrari,EverGreen,19,3,54.72,79.0,199.47,121.19,689.72,21.36,51
3284,Frances,Root,K,26,3,74.88,139.9,350.82,123.01,371.89,82.14,12
3285,Jonathon,Viera,HomeAssist,33,1,31.68,56.77,356.54,94.68,931.72,79.98,18
3286,Thomas,Mercado,EverGreen,39,4,149.76,101.68,525.36,135.57,764.86,39.17,39
3287,Debra,Brown,K,37,4,142.08,160.96,457.44,250.34,253.91,22.91,49
3288,Angelo,Howell,EverGreen,18,1,17.28,174.01,172.85,191.95,210.83,22.05,34
3289,Yong,Jones,NU,33,4,126.72,179.13,467.91,174.56,286.66,36.94,30
3290,Darrell,Burke,OneStop,22,3,63.36,119.58,308.3,89.13,145.17,44.15,15
3291,Lisa,Dyer,Elim,18,1,17.28,129.88,79.46,155.03,815.26,42.13,28
3292,Michael,Brown,HomeAssist,26,4,99.84,56.28,233.34,168.88,358.41,68.08,12
3293,Kimberly,Maris,K,22,1,21.12,156.32,479.13,53.81,876.3,34.79,45
3294,Matthew,Millerbernd,K,36,1,34.56,81.33,146.91,110.2,139.49,15.93,30
3295,Charles,Medina,EverGreen,21,1,20.16,154.63,139.66,184.71,151.83,45.06,14
3296,Michael,Reaves,OneStop,29,3,83.52,192.67,126.83,52.59,557.79,20.21,46
3297,Delores,Burlett,EverGreen,13,3,37.44,42.86,210.39,102.61,657.12,63.31,16
3298,Patricia,Poling,EverGreen,30,3,86.4,188.29,124.89,68.01,485.31,50.97,17
3299,Phillip,Martinez,K,24,1,23.04,64.97,366.92,179.99,958.99,38.31,41
3300,Walter,Fisher,HomeAssist,25,3,72.0,137.02,441.55,56.71,540.25,28.67,41
3301,Jovita,Gorman,HomeAssist,37,4,142.08,56.94,938.13,210.13,978.64,42.0,52
3302,Mark,Fluitt,OneStop,16,2,30.72,25.66,163.32,163.07,803.41,30.41,38
3303,Dennis,Oliva,HomeAssist,40,1,38.4,198.82,467.46,107.28,510.81,35.68,36
3304,Jessica,Hesse,HomeAssist,28,2,53.76,55.75,252.89,158.68,577.49,33.7,31
3305,Mamie,Jones,HomeAssist,40,2,76.8,120.92,357.42,137.97,132.48,14.4,52
3306,Jon,Dawson,EverGreen,24,1,23.04,158.55,127.74,146.28,311.32,16.17,46
3307,Frank,Larkin,Elim,34,2,65.28,81.63,74.88,160.82,461.91,17.32,45
3308,Randolph,Lark,NU,20,2,38.4,104.64,496.08,130.85,554.39,24.73,52
3309,Nicole,Montilla,NU,11,4,42.24,77.75,345.52,169.58,685.46,53.26,24
3310,Megan,Farrell,HomeAssist,25,3,72.0,138.51,318.52,112.93,780.27,28.73,47
3311,Colleen,Reid,OneStop,32,3,92.16,141.44,98.42,197.92,759.6,23.03,52
3312,Ed,Stanley,HomeAssist,31,4,119.04,110.01,774.15,396.3,763.6,40.08,51
3313,Wendy,Bryant,K,13,3,37.44,89.61,89.64,148.45,431.12,14.59,52
3314,Richard,Venneri,HomeAssist,11,1,10.56,103.79,343.88,64.23,194.8,20.79,34
3315,Robert,Oldham,EverGreen,26,3,74.88,80.02,499.38,107.33,714.28,48.31,29
3316,Charles,Hardy,HomeAssist,25,4,96.0,153.03,71.89,194.34,637.85,44.05,24
3317,John,Hunt,NU,39,4,149.76,186.53,195.2,190.22,765.4,70.39,19
3318,Elaine,Withers,NU,39,3,112.32,102.0,690.98,367.92,803.65,42.71,46
3319,Donald,Esqueda,EverGreen,32,4,122.88,31.57,992.39,170.65,850.75,60.16,34
3320,Tiffany,Graham,HomeAssist,15,4,57.6,34.36,326.01,179.77,863.54,37.94,37
3321,Janice,Gee,EverGreen,24,3,69.12,196.56,431.12,168.49,522.89,31.41,42
3322,Vida,Flanigan,EverGreen,28,3,80.64,123.99,461.03,107.77,163.01,45.04,19
3323,Andrew,Francis,HomeAssist,20,2,38.4,191.81,442.24,189.03,543.82,48.82,28
3324,Dorothy,Marinas,OneStop,27,4,103.68,107.34,464.76,113.96,437.81,53.52,21
3325,Christopher,Burgess,EverGreen,14,1,13.44,44.4,261.92,104.3,786.98,59.88,20
3326,Wendell,Kisler,HomeAssist,18,3,51.84,95.1,68.92,190.07,516.6,28.09,31
3327,Ronald,Soledad,Elim,38,2,72.96,194.83,125.07,101.21,432.95,53.38,16
3328,Evelyn,Sedillo,OneStop,23,4,88.32,144.03,224.62,99.52,128.88,16.58,36
3329,Thanh,Smith,K,34,3,97.92,197.45,150.73,59.71,770.05,23.1,51
3330,Jennifer,Williams,Elim,16,2,30.72,172.36,120.73,50.12,555.38,47.29,19
3331,Bonnie,Miller,EverGreen,17,1,16.32,11.79,375.51,87.51,486.89,22.9,42
3332,Tommy,Cadorette,K,33,1,31.68,179.73,106.06,161.27,971.76,45.77,31
3333,Mary,Gregg,HomeAssist,18,3,51.84,34.59,115.37,101.12,949.33,31.59,38
3334,Ellen,Gay,EverGreen,26,2,49.92,49.54,260.37,197.84,740.16,32.84,38
3335,Jessica,Watson,K,30,4,115.2,51.59,176.31,165.09,713.29,36.88,30
3336,Joshua,Davis,NU,36,1,34.56,34.35,429.27,100.33,511.21,44.8,24
3337,Lloyd,Lewis,OneStop,36,4,138.24,180.99,961.74,326.75,720.76,78.22,28
3338,Robert,Geathers,Elim,30,2,57.6,122.16,337.08,104.47,872.26,65.27,22
3339,Jason,Lillpop,NU,10,4,38.4,99.47,469.32,141.79,722.98,68.26,21
3340,Maurita,Moore,EverGreen,16,3,46.08,39.79,390.58,196.86,432.57,22.08,48
3341,Kimberly,Crabtree,EverGreen,30,2,57.6,175.8,77.27,166.04,645.75,76.06,14
3342,Mary,Reed,Elim,20,4,76.8,59.44,258.38,186.88,663.98,23.37,50
3343,Tony,Rader,OneStop,19,4,72.96,19.86,365.67,58.33,824.84,29.5,43
3344,Suzanne,Fox,NU,29,4,111.36,46.01,864.14,430.32,581.18,73.91,26
3345,Kenneth,Stark,EverGreen,40,2,76.8,73.43,175.13,71.51,408.71,31.69,23
3346,Steven,Amabile,OneStop,25,2,48.0,161.43,138.89,83.17,936.38,87.99,15
3347,Julius,Hull,Elim,28,2,53.76,124.6,81.5,135.03,487.83,48.76,17
3348,Bert,Bouleris,NU,30,3,86.4,79.07,357.95,195.07,565.66,24.44,49
3349,Eloise,Gooden,K,16,1,15.36,154.5,82.9,96.08,367.95,35.07,20
3350,Ginger,Sanchez,NU,40,1,38.4,48.74,475.5,63.37,141.13,48.58,15
3351,Ricardo,Rosas,NU,21,3,60.48,141.61,309.12,113.54,543.29,52.74,21
3352,Ruth,Romanelli,EverGreen,36,2,69.12,86.9,407.19,110.45,628.34,56.04,22
3353,Nicole,Reed,NU,32,3,92.16,106.18,410.03,158.35,289.56,53.56,18
3354,Heidi,Serrano,HomeAssist,14,1,13.44,46.69,275.95,177.49,896.39,53.71,26
3355,Sarah,Ryan,Elim,16,3,46.08,43.6,128.81,157.38,626.63,47.82,20
3356,Daniel,Rothenbach,Elim,22,2,42.24,32.69,58.21,115.2,288.05,19.01,26
3357,Kandi,Parihar,NU,25,3,72.0,89.98,412.14,72.64,846.54,36.44,39
3358,Kenneth,Elem,HomeAssist,13,3,37.44,113.19,90.93,54.19,472.25,16.23,45
3359,Juanita,Danley,EverGreen,16,1,15.36,193.18,360.55,88.83,821.81,69.73,21
3360,Aldo,Maltba,NU,12,4,46.08,140.12,298.09,97.93,587.45,38.74,29
3361,Beth,Larish,Elim,37,4,142.08,195.73,676.08,342.79,631.43,37.67,49
3362,Michael,Johnson,HomeAssist,28,4,107.52,38.43,167.37,417.33,775.16,31.78,44
3363,Lillian,James,OneStop,40,4,153.6,103.52,265.2,349.0,766.23,70.66,21
3364,Angela,Nichols,Elim,24,4,92.16,38.69,223.09,155.79,602.97,29.16,35
3365,Larry,Stanford,K,31,1,29.76,116.57,274.18,55.84,543.83,47.16,21
3366,Cecil,Peterson,K,19,1,18.24,83.56,286.14,51.2,832.21,73.71,17
3367,Theodore,Lester,HomeAssist,40,4,153.6,91.83,466.1,321.62,718.02,46.99,34
3368,Alan,Barnes,NU,18,1,17.28,78.29,419.24,173.98,424.38,25.49,43
3369,Marsha,Denny,NU,11,2,21.12,181.09,483.78,90.71,779.85,29.53,52
3370,Roger,Kellogg,HomeAssist,39,3,112.32,135.03,911.63,350.91,293.64,37.58,45
3371,Annette,Mcdowell,OneStop,24,1,23.04,120.28,429.26,80.93,609.49,24.31,51
3372,Deborah,Brenton,OneStop,39,1,37.44,115.13,130.1,52.34,921.28,38.09,32
3373,Frances,Wilkinson,OneStop,26,3,74.88,110.95,202.32,75.5,263.96,13.89,47
3374,Randall,Thuss,Elim,38,2,72.96,65.91,277.66,112.42,360.24,45.35,18
3375,Sheila,Langeness,OneStop,18,1,17.28,162.95,267.74,178.49,954.81,36.37,43
3376,Joseph,Villar,Elim,21,4,80.64,148.38,259.74,51.59,415.56,21.88,40
3377,Christopher,Kennedy,Elim,22,2,42.24,49.3,354.02,133.4,211.38,14.39,52
3378,Judy,Uren,K,32,4,122.88,30.59,340.63,474.76,924.88,37.68,47
3379,Michael,Goan,HomeAssist,31,3,89.28,172.61,66.21,78.1,369.56,14.92,46
3380,Debbie,Brewer,NU,19,3,54.72,59.24,278.4,64.31,188.76,31.09,19
3381,Richard,Perez,K,37,1,35.52,42.08,247.23,92.72,988.68,114.23,12
3382,Frank,Herald,EverGreen,21,3,60.48,37.01,445.32,78.78,865.08,49.18,29
3383,Raymond,Carr,HomeAssist,39,3,112.32,90.48,322.4,363.31,279.71,21.55,49
3384,William,Mann,EverGreen,14,2,26.88,116.03,213.21,120.78,765.84,24.81,49
3385,Lucille,Quiroz,K,18,1,17.28,100.81,473.14,102.79,566.98,31.09,40
3386,Rosario,Saadd,OneStop,15,2,28.8,104.49,439.63,130.92,152.08,37.6,22
3387,Hannah,Harris,HomeAssist,38,3,109.44,199.83,309.73,365.34,836.39,32.91,52
3388,Robert,Becerra,K,20,4,76.8,190.21,488.23,131.29,251.1,70.72,15
3389,Logan,Taft,HomeAssist,15,3,43.2,60.79,233.68,56.88,519.67,62.22,14
3390,Timothy,West,OneStop,20,3,57.6,114.22,183.23,151.32,964.94,27.19,52
3391,Victoria,Atchison,EverGreen,25,2,48.0,115.45,231.47,139.15,388.27,21.33,41
3392,Ronnie,Shelby,EverGreen,40,4,153.6,88.4,841.8,213.16,143.14,24.74,52
3393,Melissa,Hokanson,Elim,26,2,49.92,70.33,57.32,174.86,442.01,32.37,23
3394,Carolyn,Johnson,NU,31,4,119.04,122.39,335.88,123.58,768.79,50.02,27
3395,Jessica,Spinks,NU,13,4,49.92,99.42,278.99,110.41,587.81,76.9,14
3396,Lelah,Garrett,OneStop,15,2,28.8,52.2,340.2,53.82,968.69,38.24,37
3397,Lorena,Nicklas,Elim,36,3,103.68,19.33,623.22,313.96,838.01,48.5,37
3398,Sandra,Utter,EverGreen,10,1,9.6,48.57,66.51,134.54,207.02,24.03,19
3399,Rachel,Tavolario,NU,17,2,32.64,77.79,444.94,105.83,383.24,56.21,18
3400,Deanna,Crays,HomeAssist,37,1,35.52,132.4,495.08,84.75,616.16,47.44,28
3401,Clara,Lach,NU,28,3,80.64,55.87,222.68,171.74,938.62,38.58,36
3402,Eugene,Wong,EverGreen,33,3,95.04,196.83,453.54,199.6,677.15,76.36,20
3403,Erica,Barrows,HomeAssist,10,2,19.2,45.19,123.7,162.49,793.51,56.24,20
3404,Carol,James,EverGreen,26,2,49.92,80.7,233.89,91.44,352.21,50.55,15
3405,Cleo,Bubier,HomeAssist,13,4,49.92,93.33,99.13,148.51,536.28,22.49,39
3406,Sadie,Delperdang,NU,11,2,21.12,60.25,430.78,83.4,411.33,22.4,44
3407,Marie,Hyder,OneStop,27,4,103.68,116.15,553.71,366.17,379.71,52.43,27
3408,Irene,Conley,HomeAssist,12,4,46.08,127.13,231.34,164.17,391.97,26.9,34
3409,David,Simpson,EverGreen,35,2,67.2,113.79,194.53,87.47,273.3,20.91,32
3410,Billie,Fenn,NU,26,2,49.92,191.13,368.27,196.23,143.15,26.43,34
3411,Alisha,Leddy,EverGreen,13,2,24.96,87.18,164.08,125.15,995.16,59.63,23
3412,Charlie,Rudnick,HomeAssist,27,1,25.92,93.41,127.4,65.97,990.2,53.21,24
3413,Jill,Frawley,NU,33,1,31.68,98.01,276.65,133.32,972.2,67.28,22
3414,Donald,Valadez,HomeAssist,28,3,80.64,168.66,50.96,156.88,781.06,41.34,28
3415,Teddy,Arterberry,Elim,34,2,65.28,10.91,426.25,196.65,974.31,76.58,21
3416,Katharine,Rishel,EverGreen,16,3,46.08,40.7,247.48,195.76,210.1,57.84,12
3417,Micheal,Hawkins,HomeAssist,14,4,53.76,11.12,433.41,176.11,693.87,31.3,42
3418,Gladys,Story,OneStop,38,3,109.44,15.04,545.67,379.77,250.39,56.71,21
3419,Bernadette,Odonnell,EverGreen,23,2,44.16,72.39,274.05,81.32,662.04,30.27,36
3420,Joanna,Ballenger,Elim,10,1,9.6,78.14,268.8,192.45,180.04,15.31,47
3421,Sophia,Prokop,HomeAssist,37,2,71.04,89.23,152.72,141.49,584.5,42.08,23
3422,Christy,Kruger,K,20,2,38.4,77.65,290.92,95.87,904.35,29.12,47
3423,Trent,Wagner,K,30,1,28.8,186.13,127.05,73.56,243.57,16.16,39
3424,Roger,Verduzco,EverGreen,26,3,74.88,124.59,374.02,196.01,739.46,28.12,51
3425,Dan,Sadberry,EverGreen,11,1,10.56,21.74,101.2,52.11,149.39,8.32,39
3426,Lee,Molina,Elim,29,3,83.52,138.12,121.29,127.1,974.41,26.17,52
3427,Nigel,Woon,EverGreen,17,3,48.96,92.19,417.3,88.72,597.42,29.89,40
3428,Daniel,Phillips,EverGreen,25,2,48.0,106.43,404.53,61.51,917.22,78.4,19
3429,Roger,Hernandez,EverGreen,16,4,61.44,60.98,78.24,191.28,660.99,21.55,46
3430,Regina,Perez,OneStop,30,3,86.4,64.0,281.54,72.42,583.25,20.02,50
3431,Janet,Bryant,HomeAssist,28,3,80.64,79.02,421.28,86.66,246.67,21.38,39
3432,Albert,Jernigan,OneStop,12,3,34.56,27.27,126.02,155.95,364.83,48.15,14
3433,Chris,Glud,Elim,17,2,32.64,88.79,198.81,77.57,742.62,29.15,38
3434,Corrine,Gamino,NU,40,2,76.8,76.08,194.8,93.08,611.91,65.06,15
3435,Miguel,Ogden,Elim,21,2,40.32,64.12,308.16,124.61,639.34,25.82,44
3436,Dianne,Houck,HomeAssist,11,1,10.56,147.14,216.79,55.35,877.26,30.87,42
3437,Kent,Otte,EverGreen,40,3,115.2,167.42,701.12,415.88,308.56,41.92,38
3438,Stephanie,Angell,Elim,36,3,103.68,198.98,681.22,365.01,461.06,46.12,37
3439,Jose,Rudd,K,36,3,103.68,186.61,623.06,456.01,606.77,52.01,36
3440,Beulah,Fancher,EverGreen,18,2,34.56,169.84,199.61,63.41,673.55,73.76,15
3441,Robert,Stevens,Elim,19,3,54.72,18.74,498.54,189.56,784.27,31.73,47
3442,Johnathan,Riso,Elim,16,4,61.44,163.64,245.0,91.62,639.96,36.78,31
3443,Marie,Kosse,HomeAssist,36,3,103.68,87.5,540.46,388.59,543.57,65.0,24
3444,Jose,Scott,K,39,4,149.76,194.11,518.79,340.76,227.13,25.62,50
3445,Leon,Hobart,NU,30,2,57.6,171.07,402.74,96.56,706.4,36.23,38
3446,Dana,Pye,HomeAssist,19,4,72.96,55.6,451.5,74.76,148.51,33.2,22
3447,Carolyn,Flores,HomeAssist,14,4,53.76,133.22,246.16,151.7,605.44,27.06,42
3448,Andrew,Alvarez,Elim,22,4,84.48,173.48,261.53,103.44,726.48,29.42,43
3449,Richard,Cruz,K,21,3,60.48,55.89,192.04,128.6,515.29,63.7,14
3450,Curtis,Wilson,NU,21,2,40.32,157.56,375.94,106.83,817.86,39.41,37
3451,Richard,Nairn,EverGreen,13,1,12.48,11.71,190.7,145.19,983.48,41.6,32
3452,Emma,Slavens,EverGreen,28,4,107.52,78.62,513.4,497.92,310.84,35.92,39
3453,David,Gardiner,NU,16,2,30.72,169.52,239.38,154.3,514.31,33.67,32
3454,George,Concepcion,Elim,26,3,74.88,87.48,276.97,52.02,278.78,14.48,48
3455,Ian,Dorn,EverGreen,10,3,28.8,31.46,246.67,112.29,928.48,38.79,34
3456,Bridgette,Borysewicz,K,16,3,46.08,162.54,80.03,134.56,952.23,25.56,52
3457,Helen,Ryan,EverGreen,16,2,30.72,146.24,257.85,174.92,894.49,35.94,41
3458,Gregory,Vasques,EverGreen,18,4,69.12,186.23,164.53,109.41,977.07,29.33,49
3459,Juanita,Elam,Elim,18,1,17.28,104.86,205.59,180.97,858.06,44.98,30
3460,Martin,Vale,NU,34,1,32.64,188.25,294.19,82.39,458.84,31.02,33
3461,Wilfred,Kiser,K,38,3,109.44,177.1,858.79,265.63,683.74,165.44,12
3462,Molly,Bennett,EverGreen,38,3,109.44,114.98,509.89,236.02,496.86,28.89,47
3463,Betty,Espinosa,NU,26,4,99.84,90.49,261.28,82.38,373.84,27.86,29
3464,Edward,Reed,Elim,39,3,112.32,83.54,966.84,137.2,739.33,64.23,30
3465,Bessie,Carty,HomeAssist,23,1,22.08,36.26,421.13,56.86,586.85,34.41,32
3466,George,Reinkemeyer,K,30,2,57.6,25.36,206.87,161.35,439.44,29.75,28
3467,Viola,Truitt,EverGreen,30,4,115.2,149.77,820.77,496.48,109.94,58.41,27
3468,Pablo,Lewis,OneStop,16,4,61.44,88.82,258.81,148.95,749.71,25.43,49
3469,Nancy,Carter,HomeAssist,34,1,32.64,154.21,314.11,171.15,230.21,25.58,34
3470,Katherine,Hernandez,EverGreen,15,3,43.2,26.84,229.84,53.6,238.98,10.56,52
3471,Joy,Ripley,EverGreen,28,2,53.76,156.09,480.32,153.75,321.7,25.86,43
3472,Thomas,Olive,OneStop,27,1,25.92,179.91,294.03,179.99,185.31,22.68,37
3473,Doris,Wilson,HomeAssist,35,4,134.4,63.04,447.08,312.82,696.43,56.27,27
3474,Ann,Hovis,Elim,19,2,36.48,197.57,229.01,69.12,716.5,44.9,27
3475,Yvonne,Brown,K,22,1,21.12,92.01,234.87,106.71,863.27,64.84,20
3476,Jennifer,Roth,OneStop,36,3,103.68,142.11,146.98,405.01,603.89,92.71,14
3477,Susan,Frankenfield,OneStop,38,2,72.96,83.99,419.36,127.41,133.95,29.41,26
3478,Alvin,Lewis,Elim,28,2,53.76,30.4,392.57,116.16,559.16,23.37,47
3479,Edwina,Culligan,NU,28,2,53.76,158.86,466.93,169.65,999.93,64.12,28
3480,Edwina,Martin,K,29,1,27.84,193.8,347.0,123.82,147.3,17.65,46
3481,Jorge,Cooper,EverGreen,39,1,37.44,189.67,458.45,159.45,674.17,52.92,28
3482,Irene,Demma,EverGreen,35,3,100.8,90.66,223.61,476.91,797.9,34.55,46
3483,Lewis,Bullinger,HomeAssist,21,1,20.16,181.27,185.22,73.24,651.77,24.26,45
3484,Leonard,Laudenslager,Elim,33,4,126.72,180.27,677.68,433.47,426.09,34.35,50
3485,Richard,Marques,NU,37,2,71.04,99.65,206.61,120.04,172.44,13.92,43
3486,Porter,Little,HomeAssist,23,1,22.08,11.01,255.38,59.16,615.4,31.36,30
3487,Stephanie,Provencal,Elim,28,3,80.64,18.12,456.37,188.66,738.21,60.93,23
3488,Thomas,Rowley,OneStop,34,2,65.28,38.22,418.12,111.55,377.6,32.6,29
3489,Nena,Blanton,K,21,3,60.48,181.65,89.87,64.72,910.54,32.81,38
3490,Bobbie,Hill,EverGreen,22,2,42.24,113.31,108.02,151.8,807.2,69.43,17
3491,Alison,Aoki,HomeAssist,38,1,36.48,149.65,234.39,170.22,165.53,24.82,29
3492,Rebecca,Wilkinson,OneStop,38,4,145.92,61.07,761.97,154.71,247.87,58.36,21
3493,Sara,Macinnes,HomeAssist,10,3,28.8,25.03,228.34,142.33,970.09,97.56,14
3494,Mauro,Davis,EverGreen,34,2,65.28,33.76,151.61,142.2,756.07,34.96,31
3495,Blake,Madore,K,10,3,28.8,40.07,340.01,132.14,734.55,59.37,21
3496,Julie,Schneider,OneStop,34,3,97.92,156.21,90.67,129.23,317.28,18.74,37
3497,Amber,Thibadeau,OneStop,40,1,38.4,62.96,209.08,135.8,447.71,19.44,44
3498,Louise,Neal,HomeAssist,37,3,106.56,181.63,692.19,365.44,891.94,45.34,47
3499,Charlotte,Galvis,OneStop,13,4,49.92,23.54,258.94,165.38,906.72,104.2,13
3500,April,Day,EverGreen,36,2,69.12,127.2,66.03,155.32,120.77,9.58,49
3501,Mickey,Winfrey,Elim,35,2,67.2,75.1,289.45,129.08,453.36,49.84,19
3502,Leo,Lewis,Elim,14,4,53.76,141.79,480.24,125.01,139.43,59.1,15
3503,Janene,Lambert,HomeAssist,11,3,31.68,151.04,285.86,62.8,856.45,50.23,27
3504,Lashell,Boone,Elim,17,1,16.32,111.06,186.35,125.72,126.87,21.15,26
3505,Mary,Wade,EverGreen,11,1,10.56,92.97,458.97,116.23,551.15,60.97,20
3506,Robert,Gonzalez,EverGreen,12,4,46.08,74.98,224.06,167.31,318.11,34.11,23
